Comments
Bazı meyvesş çürüktü meyveden çalınmıştı birde.
İyi.
Malzeme bol bol koyulmustu tadı da cok güzeldi sadece waffle biraz fazla pismisti.
Bu kadar güzel bir waffleı başka bir işletmede yiyebileceğinizi sanmıyorum. Özellikle meyveleri çok taze ve güzel. Elinize sağlık her zaman tatlının adresi ege waffle.
Herzamnki gibi harikaydı teşekkürler.
Fiyatlar arttıkça meyve porsiyonları azalıyor maalesef.
Yapıyorsunuz şu tatlıyı her zaman aynı kalite elinize sağlık..
Fiyat her hafta artsada aydının ve belkide türkiyenin en iyisi o yüzden hakediyorlar.
Her şey harika ama artık lütfen zam yapmayın.
Hizli lezzetli geldi.
Fiyatlar artmış bu olmadı...
1 2 ay içerisinde waffle a 10 tl zam yapıldı oyüzden birdaha sipariş vermiycem.
Fiyatlarım bu kadar hızlı artmasından dolayı hic bir puanı haketmiyorsunuz.
İyiler iyi.
Gece 2 de bile baya baya güzeldi.
Gayet başarılı tavsiye ederim.
Çok güzel ve lezzetliydi paketleme çok iyiydi kurye arkadaş özenle getiriyor sanırsam hiç dağılmamış bi şekilde geldi.
Daha iyisi yok kesinlikle deneyin!
Fiyatlar biraz yüksek.
Hep iyi.
Sadece aydında değil genel yediğim en güzel waffle elinize emeğinize sağlık.
Herzaman harika elinize emeğinize sağlık.
Not dikkate alınmamışgökhan beyin dikkatine.
"Standart, her zamanki fibi haeika yani."
"Her hafta waffle zam mu olur, daha bi hafta öncesöyledik 27tl simdi 30tl."
Yaptığınız jesti unutmayacağım. Teşekkürler ).
"Lezzet, malzeme kalitesi ve miktarı 10/10. Asla pişman olmazsınız."
Tek kelimeyle mükemmelll.. Her aydına geldiğimde mutlaka yerim yemezsem uyku tutmuyor.
Çok guzel.
Şeker dengesi iyiydi hamurda sostan erimedi gayet güzeldi.
Herşeyi mükemmel gerçekten denenmesi gereken lezzet kurye arkadaş ve işletme sahibi abi harika insanlar.
Şiddetle tavsiye ediyoruz hem lezzetli hem hızlı hem uygun ve doyurucu...
İşini saygıyla yapan insana değer veren bir işletme.
Ellerinize sağlık çok lezzetliydi.
Bol malzemeliydi. Gayet hızlı ve çok lezzetliydi. Kesinlikle tavsiye ederım.
Cok lezzetliydi elinize saglık frambuaz sos ozellikle müthiş.
Bol malzemeli ve mükemmel tat her zamanki gibi.
İstanbul ortaköy den sonra yediğim en güzel waffle 15 dk geldi cok tesekkur ederim.
İlk seferden geç gelmesi hoş olmadı fakat geri kalan her şey mükemmeldi. Ayrıca frambuaz sosunuza bayıldım :).
"Öncelikle sizi tebrik ediyorum. Mesele saat 02:00 de waffle servis etmek değil, o waffle ı o saatte taptaze meyvelerle ve güleryüzlü servis elemanıyla 20 dkdan kısa sürede sunabilmek. Özverinizden dolayı ayakta alkışlıyorum. Tebrikler teşekkürler."
Servis mükemmel. Wawfle zaten harika.
İyidir.
Şimdiye kadar yediğim en iyi waffledı. Çok teşekkür ederim :).
İçecekler çok ucuz (! ).
Egenin en iyisi.
Süper lezzet.
Çok tatlı bir kurye abiydi cidden ve yorumlarda kötüler var diye endişeliydim fakat çok güzel bir waffledı tercihim burasıdır artık.
Hem hızlı hem leziz.
Süper kurye kralıma selamlar.
Çok uzun zamandır buradan waffle yiyorum. Hic bu kadar kötü kestane şekeri ve antep fıstığı süslemesi yememiştim. Meyvelerde aşırı sicakti. Sevdigimiz bir işletmenin bu kadar özensiz davranması çok üzdü açıkçası.
Aydın da waffle ın bir numaralı adresi.
Sürekli söylememe rağmen en son söylediğimde çilekler bozuktu ve her zaman sürdükleri nutella bu sefer nutella değil çok kötü bi çikolataydıyiyemedim üzgünüm..
Kesinlikle tavsiye ederim harika bir tat.
"Yediğim en iyi waffle değilse de iyilerdendi. Hamur daha pufuduk beklerdim, onun dışında malzemeler kaliteli. Hızlı bir teslimat oldu, teşekkürler."
"Siparişi getiren abi çok beyefendi ve güler yüzlüydü, wafflea diyecek yok harikaydı parasını hak ediyor."
Her zaman mukemmel siniz.
Tek kelimeyle mükemmel... Ellerine sağlık... Çok teşekkür ederim...
Harika.
Siz bu işin tekelisiniz.
Teşekkürler.
İlk kez sipariş verdim ama asla sonu olmayacakk. Kötü yorumlaraaa aslaaaa kanmayın hayatımda yediğim en güzel waffle buuuu.
Favorim 3.
Biraz özenli olmanız gerek waffle konusunda cikolatasız yemek istemeyiz.
Waffle da az bi meyve vardı seçtiğim ürünler yoktu ve özellikle cikolatası bol olsun dememe rağmen yemin edrim sadece ekmegin üstüne az bi nutella sürmüştünz yavan ve kuruydu hayal kırıklığına uğradım.
Her zamanki gibi mükemmeldi.
"Bu siparişimden hiç memnun kalmadım! Waffle içindeki portakallar, vişne/kiraz şekerlemeleri çürümüş gibi kokuyordu. Bitiremedim bile! Bir daha sipariş verirmiyim, bilemiyorum..."
Siz varya siz bu işin kitabını yazın.
Efsooo.
Süper.
Teşekkurler.
Dondurma getiremedi biliyorum sıcaklık ile kimse baş çıkamaz kafa o kadar mesaj gelince unutabilir her zaman su içmesi tavsiyem olur :).
God.
Güzel.
Baya iyiydi elinize sağlık.
Lezzet.
